Nom	Description	Adresse	URL	Equipements	Horaire	Type	Superficie	Postes	7j/7	Parking	Services
PRESTABURO Lyon Monplaisir	Profitez d'un espace de travail entièrement meublé et équipé, lumineux et propre.Vous disposez d'un large éventail de services compris tels que : domiciliation d'entreprise, permanence téléphonique, chauffage/climatisation, charges comprises, nettoyage...Vous avez également accès aux équipements du centre et à ses salles de réunion, sans oublier les petits déjeuners organisés !Localisation :Situé au coeur de Lyon 3èmeFacile d'accès, proche de l'arrêt du métro Sans-SouciQuelques bons restaurants et hôtels à proximité tels que l'hôtel Mercure au pied de l'immeuble...N'hésitez pas à nous contacter pour toute information supplémentaire !	73 Cours Albert Thomas, 69003 LYON	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5595/centre-d-affaires-lyon-prestaburo-lyon-monplaisir	Accès handicapé//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires	500	29	Non	Oui	Imprimante/scanner//Domiciliation//Accueil personnalisé et prestations de service//Pause café/thé servie en salle 1€/unité//Pause café/thé/jus de fruit servie en salle 3.5€/unité//Service de soda 1.5€/unité//Restaurant / plateaux repas 0€/unité//Petits-déjeuners servis en salle 6€/unité//Parking 25€/journée//Video-projecteur / ecran de télévision 60€/journée
COWORK IN VIENNE	Bienvenue dans notre espace de travail!Ici vous trouverez toutes les commodités dont vous aurez besoin pour travailler en toute tranquillité seul(e) ou à plusieurs. Nous proposons un espace de coworking, des salles de réunions et des bureaux à louer au mois ou à l'heure, demi-journée et journée. La flexibilité, le service et la convivialité sont nos maîtres mots. Nous proposons aussi des parcours de formations pour les créateurs, les chefs d'entreprises et les managers et aussi du bilan de compétences. Au plaisir de vous recevoir!	558 route du barrage, 38121 REVENTIN VAUGRIS	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8824/coworking-reventin-vaugris-cowork-in-vienne	Internet haut débit//Accès handicapé//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Coworking	125	49	Non	Oui	Table de réunion//Brother//Matériel de bureau//Parking//Tableaux//Vidéo-projecteur//Équipement de cuisine//Mise en place de la salle//Plateau repas 20€/unité//Petit déjeuner 8.5€/unité//Accueil dédié 20€/heure//Domiciliation 35€/mois//Formation parcours créateur 1250€/unité
way up	Bonjour bienvenue a way upLe bureau indépendant est composé d'une salle de formation, un coin détente et un coin cuisine de plus une salle bain avec douche est disponiblel 'endroit se situe dans un endroit calme!!Nous le proposons uniquement en location ponctuelle et pour des activités autour du développement personnel de préférencede nombreuses places de parking sont disponibles	1 rue des piverts, 69800 saint priest	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8809/lieu-dedie-evenementiel-saint-priest-way-up	Espace pause//Cuisine//Climatisation	8h00 - 0h	Lieu dédié événementiel	50	10	Oui	Oui	Parking//Tv//Tableaux//Équipement de cuisine
Multiburo Beaune	Le centre de Beaune vous propose d’établir votre entreprise au sein de la capitale des vins de Bourgognes, près de la prestigieuse place Madeleine. Situé en centre ville, cette espace de travail profite d’un cadre vivant et agréable.Outre une adresse de renom, le centre de Beaune profite d’une situation idéale. Il est facile d’accès grâce à sa proximité avec les réseaux de transport :Proche du train, à cinq minutes de la gareAccès par autoroute, à cinq minutes en voiturePour faciliter vos déplacements, nous mettons à votre disposition un parking de 150 places gratuites devant le centre.Le centre vous propose les services de domiciliation pour établir votre siège social, la location de bureaux équipés, des salles de réunion ainsi qu’un espace de coworking.En optant pour l’offre en centre, vous optez pour une solution immobilière flexible et avantageuse. Que vous soyez auto-entrepreneur ou directeur régional d'une grande entreprise, nos équipes vous accueillent et vous conseillent pour menez à bien vos projets.	11 avenue du 8 septembre 1944, 80440 Beaune	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8645/centre-d-affaires-beaune-multiburo-beaune	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	9h00 - 18h00	Centre d'affaires		1	Non	Oui	
Atelier du savoir	La sortie 35 de l'autoroute A10, entre Paris et Bordeaux, dessert Saintes. Face à la gare SNCF de Saintes Sncf, l'hôtel est facilement accessible avec possibilité de parking gratuit à 100 m.La salle de réunion de 90 m² est située au 3ème étage (sans ascenseur) de notre hôtel Souvenirs de Familles. Il dispose d'un rétroprojecteur, d'un écran plat, d'un paper board et de la climatisation. Les installations sanitaires sont situées au même étage. Une salle séparée avec un bureau, un ordinateur et une imprimante est disponible pour une réunion plus confidentielle.Nous pouvons organiser un repas traiteur sur place ou des réservations de restaurant à 5 minutes à pied.A votre arrivée, le matin ou l'après-midi, un café de bienvenue avec mini viennoiseries, boissons chaudes, thé ou café, jus de fruits peut vous être proposé en supplément.Pour une pause, une cour intérieure vous permettra de fumer ou de vous aérer.	2 rue Jean Moulin, 17100 Saintes	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8685/hotel-saintes-atelier-du-savoir	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 22h00	Hôtel	90	53	Non	Oui	Tables et chaises//Parking à 100 m//Prises et wifi//Ecran plat//Paper board//Téléphone//Penderie//Vidéo-projecteur//Projecteur / tableau blanc//Privatisation//Toilettes
JDSCENTER VIENNE	Situé au coeur de l'espace Saint-Germain,au sud de Vienne, ce centre d'affaire offre une gamme variée de service, du simple bureau de passage à la domiciliation.Notre business center Vienne se situe dans la ville dynamique de VIENNE en plein cœur de l’Espace Saint Germain et se déploie sur 1000 m² dans le bâtiment « le Saxo ».A deux pas de la voie verte, du centre Ville et en plein cœur du pôle culturel, JDSCENTER offre une qualité de vie au travail indéniable.Notre centre d'affaires propose : - 1000 m² dédiés à l’ensemble des services,- 30 bureaux, 70 postes de travail,- Fibre optique 100 mégas - 3 salles de réunion modulables.Du lundi au vendredide 8h30 à 17h30	30 avenue général Leclerc, 38200 Vienne	https://www.neo-nomade.com/mb-47-bnpp_re/espace/209/centre-d-affaires-vienne-jdscenter-vienne	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Climatisation	8h30 - 17h30	Centre d'affaires		121	Non	Oui	Imprimante//Place de parking//Tableaux//Téléphone fixe et téléphonie illimitée//Vidéo-projecteur//Materiel reprographique//Salle de repos et de pause//Accès handicapés//Climatisation//Accueil dédié//Internet par fibre optique et wifi//Accès 24/7//Gestion du courrier//Domiciliation//Permanence téléphonique//Ménage//Taxe et assurances//Energies//Petit déjeuner 6€/unité//Plateaux repas 18€/unité//Pause goûter 6.5€/unité//Pause légère 4€/unité//Pause café 2€/unité//Machine à café 0.6€/unité//Secrétariat 30€/heure//Domiciliation 39€/unité
CHLOROFEEL	A Meyzieu face au tram T3 et à 20 minutes de la gare de la Part-Dieu, venez travailler un cadre de travail stimulant, convivial et de proximité.ChloroFEEL, c’est un lieu partagé où vous venez travailler mais c’est aussi un lieu pour recevoir vos clients, organiser vos réunions et développer votre réseau professionnel.SOUPLESSE ET LIBERTÉ SONT LES MAÎTRES MOTS POUR VOUS ACCUEILLIR SUR NOS POSTES EN OPENSPACE, NOS BUREAUX DE RENDEZ-VOUS ET NOTRE SALLE DE RÉUNION.Parce que notre devise est #FeelYourJob, nous mettons tout en œuvre pour contribuer à votre confort de travail, au développement de vos compétences et de votre efficacité économique : ateliers thématiques, petits déjeuners et afterworks.Le coworking c’est du boulot, des rencontres, du partage, du wifi et du café à volonté !	7 rue de la gare, 69330 MEYZIEU	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5613/coworking-meyzieu-chlorofeel	Internet haut débit//Accès handicapé//Cuisine	9h00 - 17h30	Coworking	160	143	Non	Oui	Café - thé à volonté//Parking//Scanner//Tableaux//Vidéoprojecteur//Écran//Équipement de cuisine//Happy déj 7.5€/unité//Forfait viennoiseries 2.5€/unité//Box de confidentialité 11€/unité//Casier de rangement 6€/mois//Casier 6€/mois//Imprimante/scanner 0.04€/unité//Imprimante 1€/unité//Domiciliation 29€/mois//Domiciliation d'entreprise 29€/mois//Privatisation 120€/unité 39€/heure 75€/demi-journée 150€/journée//Privatisation 79€/unité
Coworkgreen	Nous rejoindre, c’est cultiver l'intelligence collective !Une atmosphère de travail dynamique et studieuse, une énergie collective et des rencontres professionnelles stimulantes, c'est ce que nous proposons dans un écrin de verdure au centre du village de Saclas, à 10 minutes d'Etampes.Flexibles, nos offres vont de la tarification à la demi-journée (9 euros HT) jusqu'à l'abonnement mensuel (120 euros HT). Vous n'avez plus qu'à poser votre ordinateur pour travailler !Venez nous rendre visite, la première journée (et tous les cafés et thés qui vont avec) est offerte !	6 avenue Jean Jaures, 91690 Saclas	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4610/coworking-saclas-coworkgreen	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur	9h00 - 19h00	Coworking	68	29	Non	Oui	Cafés et thés gratuits//Scanner//Écran//Parking//Tableaux//Vidéo-projecteur//Tapis de yoga
CoWork ETC	Au cœur de La Cité Entrepreneuriale de Saintes, CoWork ETC vous accueille dans un espace confortable et lumineux sur 300m2.Vous pouvez venir quand vous voulez et autant que vous le souhaitez, que ce soit pour travailler en openspace, réserver une salle, ou même privatiser l’espace. Vous pouvez vous restaurer à la cafétéria qui est sur place, ou dans les multiples restaurants du Centre Ville qui est à proximité.Vous bénéficiez d'un accès au Parking gratuit (couvert ou non), cafétéria, salle de réunion, salle de conférence ainsi que d'un Auditorium.	18 Bd Guillet-Maillet, 17100 Saintes	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5261/coworking-saintes-cowork-etc	Internet haut débit//Accès handicapé//Climatisation	9h00 - 18h00	Coworking	300	39	Non	Oui	Pause café/thé à volonté//Boisson//Imprimante//Stationnement gratuit//Scanner//Accueil//Services divers, prix selon prestations//Evènements//Casier fermé à la location 20€/mois//Domiciliation d'entreprise 30€/mois//Formation entrepreneur 1€/unité//Assistant personnel pour entrepreneur à succès 45€/heure
Stop and Work Fontainebleau	"Stop & Work développe un réseau de centres de télétravail dans lesquels des professionnels, salariés de grands groupes, indépendants, start-ups ou auto-entrepreneurs, utilisent de manière très souple des espaces de travail ouverts ou privatifs, des salles de réunion, une connectivité très haut débit, des services de visioconférence et d'une manière générale toute une offre de services flexibles et un environnement professionnel.L'offre d'espaces et de services à Stop & Work Fontainebleau est pensée pour vous apporter la plus grande flexibilité et favoriser l'échange et la collaboration : du business lounge au bureau résident privé, de l'usage unique aux abonnements long terme, les offres du site s'adaptent à vos besoins. Que ce soit pour une journée ou plusieurs mois, Stop&Work Fontainebleau propose le cadre et l'assistance ""tout compris"" dont vous avez besoin pour vous concentrer sur votre activité. Et avec une unique facture mensuelle, vous pouvez bien entendu faire évoluer vos options autant que vous le souhaitez, en toute souplesse.Côté pratique, Stop & Work Fontainebleau est situé à 10 minutes à pied du centre- ville, 3 rue Paul Tavernier, au bord de l'axe Montereau - Melun (face à l'INSEAD); et vous propose un parking auto et vélo au pied.L’espace est situé dans un bâtiment de 1 250 m² appartenant à la Communauté d’agglomération du Pays de Fontainebleau, qui l’a rénové pour en faire un télécentre, avec le soutien de la Région Ile-de-France, du Département de Seine-et-Marne et de la DETR. Il est aux normes ERP et équipé du Très Haut Débit (fibre optique). Stop & Work Fontainebleau accueille également dans ses locaux la pépinière d’entreprises du Pays de Fontainebleau.Le réseau Stop & Work est connecté au réseau de centres d'affaires Regus (plus de 3800 centres dans le monde, plus de 110 en France) : en tant que client Stop & Work, vous avez accès aux espaces Regus et inversement !Contact : Martine SONDERVORST martine.sondervorst@stopandwork.fr www.stopandwork.fr 33 (1) 64 70 77 00"	3, rue Paul Tavernier, 77300 Fontainebleau	https://www.neo-nomade.com/mb-47-bnpp_re/espace/2055/entreprise-fontainebleau-stop-and-work-fontainebleau	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h30 - 18h30	Entreprise		67	Non	Oui	Rangements sécurisés//Ecran//Téléphones fixe//Secrétariat téléphonique//Gestion du courrier//Café/thé 3€/unité
Multiburo Dijon	Le centre de Dijon vous propose de vous installer à tout juste 50 mètres de la gare de Dijon. Ce centre profite d’un emplacement stratégique et d’un cadre agréable. A une minute à pied du centre ville, vous trouverez un quartier vivant, entouré par de nombreux restaurants et espaces de loisirs.La proximité avec les réseaux de transport en commun rend le centre de Dijon facile d’accès pour vous et vos visiteurs. Il est situé à 50 mètres de la gare de Dijon et est accessible par différents modes de transport (TGV, TER, Bus et Tram), par les autoroutes A6, A31, A39 et également depuis l’aéroport de Dijon. Nous facilitons vos déplacements et mettons à votre disposition un parking privé.Le centre de Dijon vous propose les services de domiciliation, 350m² de bureaux équipés, des salles de réunion et des espaces de coworking. Cette solution immobilière flexible et évolutive dans le temps vous permet de vous installer à prix réduits.Vous avez à votre disposition une équipe expérimentée qui vous conseillera sur l’offre qui correspond le plus à vos besoins et à votre budget.	10 Avenue Maréchal Foch, 21000 Dijon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8661/centre-d-affaires-dijon-multiburo-dijon	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	9h00 - 18h00	Centre d'affaires		1	Non	Oui	
Start Way Dijon	L’Hôtel des Postes de Grangier a été complètement restructuré par Poste immo (foncière du groupe La Poste) afin de devenir un nouveau lieu de vie important du centre ville de Dijon. Avec l’installation de l’espace de coworking Startway (réseau français indépendant d’espaces de coworking et de centre d’affaires collaboratifs) l’Hotel des Postes propose également de nouveaux services dédiés à l’Entrepreneuriat Dijonnais.Un nouveau lieu destiné aux Start-up, PME, Salariés et travailleurs indépendants de Dijon.Les travailleurs indépendants, start-ups, TPE, PME et grands groupes locaux ont désormais un lieu supplémentaire moderne pour venir travailler, se réunir, et se développer. Afin de répondre au plus grand nombre d’attentes, l’espace de coworking Dijon Grangier propose sur plusieurs centaines de mètres carrés des solutions de location de bureaux privatifs et partagés, un concept de cowork café, des espaces pour de l’évènementiel d’entreprise (lancement de produit, séminaires, meetup , afterwork), des salles de réunion et de la domiciliation. Les solutions proposées bénéficient de superbes hauteurs sous-plafond.L’écosystème Startway et le « community manager » de l’espace de coworking Dijon Grangier accompagnera ces entrepreneurs dans leur parcours quotidien et veillera de façon permanente à la création de synergies positives.Pour les nomades, une situation idéale en centre ville à quelques centaines de mètres de la gare de TGV DijonPour les travailleurs nomades, la proximité des nombreux commerces et de la Gare TGV (500 mètres à pied) rendront agréable et efficace tout déplacement professionnel sur Dijon. Le tram est au pied de l’immeuble.	15 BOULEVARD DE BROSSES , 21000 Dijon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7527/centre-d-affaires-dijon-start-way-dijon	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires		101	Non	Oui	
W'iN Coworking	W’iN créateur de tiers lieux haut de gamme et hybrides s’installe au cœur de la ville de Libourne.Combinant des bureaux à partager fermés, des espaces de coworking en open-space et des espaces de vie commun, W’iN offre aux Libournais un lieu de travail atypique et fonctionnel.Les différentes formules proposées sont flexibles, elles permettent aux entreprises de s’installer en 24h et de bénéficier de tous les équipements nécessaires sans engagement de durée.W’iN présente des espaces de travail nouvelle génération qui permettent aux entreprises et aux indépendants de perfectionner leur image et d’améliorer leur productivité. Construit en 1749 cet ancien hôtel particulier est situé sur le site de l'ex-manufacture Royale.De style rocaille, ce bâtiment d’une superficie de 522 m2 se caractérise par ses planchers en chêne massif, ses moulures au plafond, ses imposantes cheminées ornementées et sa façade en pierre de taille.Le site comporte également une cour intérieure de 80m2 et un jardin couvert de 210 m2 pour se ressourcer entre deux sessions de travail ou pour y organiser des événements !Afin de créer un espace fonctionnel et inspirant, nous avons pensé ce bâtiment comme un tiers-lieu :Un lieu dédié à la vie sociale de la communauté, créant des espaces où les individus se rencontrent, se réunissent et échangent.	23 place Jean Moulin, 33500 Libourne	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8585/coworking-libourne-w-in-coworking	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine	9h00 - 18h00	Coworking		 522 m2	Non	Oui	Casier à code//Imprimante//Imprimante//Scanner//Scanner//Tableaux//Tableaux//Visio-conférence//Écran//Équipement de cuisine//Équipement de cuisine//Salles de réunion 20€/heure//Café/thé illimité 3€/unité//Plateaux repas 25€/unité//Pause sucrée 10€/unité//Petit-déjeuner 8€/unité
Regus Le Mans - Gare SNCF	Salon d'affaires, salles de réunion et espace de coworking dans la Gare TGV du Mans. L'arrêt du tram se trouve devant le centre Regus Express. Nombreux commerces et restaurants à proximité.	Place du 8 mai 1945, 72000 Le Mans	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8349/centre-d-affaires-le-mans-regus-le-mans-gare-sncf	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
OPEN WORK	1 Espace partagé//1 Bureau	8 RUE JOSEPH CUGNOT, 38300 BOURGOIN JALLIEU	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4537/coworking-bourgoin-jallieu-open-work	Internet haut débit//Cuisine	9h00 - 19h00	Coworking		72	Oui	Oui	Coffee shop//Box de rangement//Salle de réunion//Café / thé 1€/unité//Plateau repas 17€/unité//Impression / copie 0.5€/unité//Parking 1€/heure//Domiciliation 30€/mois
Stop & Work Montereau	Travaillez à proximité de la capitale. Sans les embouteillages et les distractions de la ville. Notre centre d’affaires Stop & Work Montereau se situe à une heure au sud de Paris. Facilement accessible depuis l’autoroute A5, il vous offre un cadre de travail paisible et verdoyant. Vous trouverez dans les environs des cafés, hôtels et quartiers résidentiels, et tous les services qu’il vous faut sur place pour travailler efficacement à distance. La gare ferroviaire n’est qu’à deux minutes à pied pour faciliter vos déplacements.	5 Rue du Chatelet , 77130 Montereau - Folt - Yvonne	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8427/centre-d-affaires-montereau-folt-yvonne-stop-work-montereau	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires		50	Non	Oui	
L'ESPACE CHOLET	Bienvenue à L'Espace Cholet !Notre espace regroupe aussi bien la possibilité de travailler en open-space qu'en bureau fermé, et ce pour tous type d'activités.Une cuisine, un espace détente et bien-être, des salles de réunions, la possibilité de réserver ou privatiser le lieu, sont autant d'éléments pour votre confort et votre développement ainsi que celui de votre activité.Situé en plein centre-ville et à proximité de tous commerces, nous serons ravis de vous y accueillir !	85, Rue Nationale, 49300 CHOLET	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7111/coworking-cholet-l-espace-cholet	Internet haut débit//Une personne à l'accueil//Espace pause//Cuisine	9h00 - 18h00	Coworking	215	131	Non	Oui	Table de réunion//Box de confidentialité//Scanner//Tableaux//Vidéo-projecteur//Écran//Équipement de cuisine//Accueil dédié//Imprimante 0.25€/unité
CENTHECO	Bienvenue au CENTHECO, Nous vous proposons la location de différents espaces de travail.3 salles de 9m² (rose, bleu, beige) avec wifi : * 1 bureau, idéal pour recevoir vos clients ou du travail en solo,* 1 salon, idéal pour des entretiens,* 1 espace bien-être, équipé d'une table de massage, idéal pour les soins.1 salle de 40m² (mauve) avec wifi : Espace lumineux, équipé d'un coin bureau et d'un salon, idéal pour recevoir vos clients (de 1 à 8 personnes).1 salle de réunion/conférence/atelier/cours de 60m² (gris)Espace lumineux équipé de 25 chaises, une cuisine (lavabo, vaisselle, cafetière et bouilloire), un vidéoprojecteur, une sonorisation avec micro, wifi, paperboard, canapés, tables de travail (jusqu'à 30 personnes).	3600/3620 ROUTE DE LA VITARELLE, 82000 MONTAUBAN	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6817/coworking-montauban-centheco	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace extérieur//Cuisine	8h00 - 23h00	Coworking	60	45	Non	Oui	Confidentialité//Imprimante//Matériel de sonorisation//Parking//Scanner//Paperboard//Vidéoprojecteur//Stockage (gros volumes) 20€/mois
Start-Way Dijon Grangier	Superbe espace de coworking installé en plein centre ville de Dijon au sein de l'emblématique Hôtel des Postes de Dijon Grangier. Un immeuble en pierre de taille complètement rénové pour pouvoir accueillir des entreprises locales, nationales et internationales avec des services flexibles tels la location de bureaux privatifs et partagés, salles de réunion, espace événementiel, cuisine, lounge et domiciliation.L'immeuble accueillant l'espace de coworking est en plein centre ville de Dijon à 5 minutes à pied de la Gare TGV Dijon ville. Le tram est au pied de l'immeuble et le coeur de ville avec la principale avenue commerçante sont à proximité immédiate. On y retrouvera des commerces anciens et modernes, restaurants, bars et hôtels	15 boulevard de Brosses, 21000 Dijon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7889/coworking-dijon-start-way-dijon-grangier	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Coworking	600	210	Non	Oui	Accueil dédié//Gestion du courrier//Workshop//Pause petit dejeuner 8€/unité//Domiciliation simple 60€/mois//Privatisation 800€/journée
Cap Cowork	Lumineux et flambant neuf, cet espace de coworking intégré au centre commercial La Galerie Espace Anjou est équipé de 40 postes, de 2 salles de réunion avec grands écrans et d'espaces confidentiels pour vos appels téléphoniques.Cet espace dispose également de lieux de détente avec un espace cuisine et un espace de jeux.HORAIRES D'OUVERTURE :Du lundi au samedi de 8h30 à 21h30.POSITIONNEMENT ET ACCESSIBILITE :Bus :Ligne 9 - Arrêt Espace AnjouLigne 5 - Arrêt Espace AnjouVoiture :Depuis le centre ville : Direction SAUMUR ou accès par la rocade ESTUn parking gratuit : 2300 places (dont 750 couvertes)Vélo :Des racks à vélos, couverts et à proximité des entrées, sont installés sur le parking du centre.Retrouvez-ici l'emplacement de nos locaux dans le centre.TOUS LES AVANTAGES DU CENTRE COMMERCIAL : Nos places de parking gratuites, restaurants et snacks, pressing, banques, pharmacie sont juste à quelques pas !	75 Avenue Montaigne, 49000 Angers	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8275/centre-d-affaires-angers-cap-cowork	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires	300	146	Non	Oui	Box de confidentialité//Casier//Imprimante//Parking//Écran//Équipement de cuisine
Etincelle coworking Albi	Cet espace de bureaux partagés est le cinquième espace d’Etincelle à voir le jour après ceux de Toulouse (place wilson , Carmes , Victor Hugo, et Alsace-Lorraine).Il vous propose 12 postes de coworking, 2 espaces de réunion, une salle de formation-conférence et la possibilité de domicilier votre entreprise. Vous travaillerez dans un espace cosy, confortable, lumineux en centre ville d'Albi. Véritable cocon dédié aux indépendants, télétravailleurs et nomades qui concilient travail et plaisir.	20 place Edmond Canet, 81000 Albi	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5995/coworking-albi-etincelle-coworking-albi	Internet haut débit//Cuisine	9h00 - 18h00	Coworking	70	23	Non	Oui	Boissons chaudes illimitées//Mise en place de la salle//Imprimante//Scanner//Tableaux//Vidéo-projecteur//Écran//Domiciliation//Gestion du courrier//Privatisation//Douche//Workshop
LA FORGE COLLECTIVE	1 Espace partagé	8 rue Baudin, 26000 Valence	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7041/coworking-valence-la-forge-collective	Internet haut débit//Accès handicapé//Une personne à l'accueil//Cuisine//Climatisation	9h00 - 18h00	Coworking	171	12	Non	Oui	Imprimante//Matériel de bureau//Périphériques informatiques
BURO Club Valence	Bienvenue dans notre centre d'affaires!Ici, vous trouverez toutes les commodités nécessaires à votre bien-être !Nous avons conçu nos espaces de manière à créer un réel lieu d’échanges où les interactions, l’équilibre et la synergie soient inhérents à la vie quotidienne du centre.Nous sommes situés dans un parc d’activités dynamique au sud de la ville avec un accès immédiat aux grands axes. (30 places de stationnement au pied du bâtiment)	105 Rue des Mourettes, 26000 VALENCE	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7055/centre-d-affaires-valence-buro-club-valence	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires	800	107	Non	Oui	Table de réunion//Table de réunion//Imprimante//Parking//Vidéo-projecteur//Équipement de cuisine//Accueil dédié//Domiciliation//Gestion du courrier//Mise en place de la salle//Prestations administratives//Plateaux-repas 19€/unité//Café gourmand 5.5€/unité//Domiciliation d'entreprise 35€/unité
Le Moulin	"Situé au cœur même de l’association Le Moulin Digital, le Moulin est un espace de coworking dans le parc d’activités Rovaltain, à 10 mn à pied de la gare Valence TGV. S’inscrivant dans l’écosystème French Tech in the Alps Valence Romans, le Moulin se compose d’un open space (Le Moulin), d’un bureau privé (La Voile) et de deux salles de réunion (Le Bocal et la Turbine), sans compter les lieux de convivialité (espace détente et cuisine). Très bien équipé, c’est le lieu idéal pour un rendez-vous d’affaires, télétravailler ou rencontrer d’autres univers professionnels. Un facilitateur ou ""couteau suisse"" est là pour vous accueillir et vous renseigner.Pour en savoir plus : http://digital-valenceromans.fr/location-coworking/ et http://www.cedille.pro/coworking-teletravail-drome/le-moulin-coworking-valence-tgv/"	8, avenue de la gare, 26300 Alixan	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4259/coworking-alixan-le-moulin	Internet haut débit	8h30 - 18h00	Coworking	220	34	Non	Oui	Espace café / lounge//Café / thé//Espace confidentiel//Imprimante 3d//Impression / copie//Clavier, écran, souris//Paperboard//Vidéoprojecteur//Accueil dédié//Service restauration 35€/unité//Supplément repas 35€/journée
La Tribu Co_Working	"Profitez du dynamisme du centre-ville de Le Mans !Nous mettons à votre disposition 6 espaces louables de l’heure à l’année :- Un espace de coworking (jusqu’à 20 personnes)- Une salle de réunion (jusqu’à 10 personnes)- Un bureau à partager (jusqu’à 3 personnes)- Deux espaces individuels (jusqu’à 4 et 6 personnes)- Un espace de détente (jusqu’à 10 personnes)Nous sommes situés en plein cœur du centre-ville du Mans. Bénéficiez alors de la proximité des transports en commun (tramway et bus), commerces de bouche et des parkings.Nos services sont compris dans les locations :- l'accueil ;- l’accompagnement dans vos projets (créativité, formations, …) ;- les animations ;- l'accès à l'Internet Très Haut Débit (fibre numérique) ;- le mobilier ;- et notre réseau très diversifié de professionnels.Pour la domiciliation d'entreprise et les collations, un supplément vous sera facturé, à votre demande.La Tribu Co_Working est un espace de travail alternatif qui accueille tout profil de professionnels du lundi au vendredi de 9heures jusqu'à 19heures sans interruption. Ainsi, profitez de votre indépendance en toute sérénité, grâce à la flexibilité que vous offre La Tribu Co_Working.Le concept ? Le partage de compétences et d'expériences ainsi que la création de réseaux, de façon très conviviale, autour des "" Morning Café "". Par conséquent, l’espace de travail alternatif participe à l'amélioration de votre chiffre d’affaires et à l'accroissement de votre réseau professionnel.""À tous les créateurs de valeur ajoutée, Surmontons ensemble l'isolement économique !""À bientôt, à La Tribu Co_Working !"	10 rue du docteur leroy, 72000 Le mans	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3065/coworking-le-mans-la-tribu-co-working		9h00 - 19h00	Coworking		46	Non	Oui	Plateau repas//Café / thé 1€/unité//Rangements sécurisés 5€/unité//Impression / copie 0.2€/unité//Domiciliation 19€/mois
